INFO:root:Scraped at: 2024-09-05 08:04:44.112513, Percent change from open: -20.940550133096714, Percent change from Average: -43.72911014735411, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 08:35:02.998764, Percent change from open: -22.8039041703638, Percent change from Average: -45.055360076541064, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 09:05:41.966716, Percent change from open: -22.892635314995566, Percent change from Average: -45.11851483507377, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 09:36:01.149618, Percent change from open: -24.31233362910382, Percent change from Average: -46.128990971597155, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 10:06:20.767279, Percent change from open: -23.77994676131322, Percent change from Average: -45.75006242040088, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 10:36:42.163415, Percent change from open: -24.134871339840274, Percent change from Average: -46.002681454531725, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 11:07:01.927417, Percent change from open: -25.02218278615794, Percent change from Average: -46.63422903985885, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 11:37:21.098768, Percent change from open: -24.31233362910382, Percent change from Average: -46.128990971597155, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 12:38:19.783824, Percent change from open: -24.489795918367346, Percent change from Average: -46.25530048866258, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 13:08:38.860712, Percent change from open: -24.8447204968944, Percent change from Average: -46.507919522793415, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-05 13:39:19.087751, Percent change from open: -24.755989352262635, Percent change from Average: -46.444764764260704, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-06 08:03:15.413213, Percent change from open: -23.425022182786147, Percent change from Average: -45.49744338627003, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-06 08:33:35.244474, Percent change from open: -25.199645075421472, Percent change from Average: -46.76053855692427, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-06 09:03:56.547271, Percent change from open: -25.554569653948526, Percent change from Average: -47.01315759105511, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-06 09:34:37.018062, Percent change from open: -26.17568766637089, Percent change from Average: -47.45524090078409, Average price: 15.834119601328906
